120,박차돌,마니산산채,819158712,경기도 일산서구 산남로 980,11:00~20:00 구정연휴,"우돈떡갈비정식, 돈불고기정식, 
 산채조기정식 무상제공"
121,진은우,이가진한 설렁탕,1544885121,경기도 일산서구 일산명 777-7 8층,"평일 19시~05시, 주말 17시~05시, 
 금요일 휴무","밥, 후라이, 제육 등 식사 한끼
 하루3~5명 정도 가급적 연락 후 방문 희망"
122,,hair S,581 912 4528,경기도 일산서구 중앙로 8776 한양상가A명 9층 80호,"월~토 10:..~18:00 
 일요일, 공휴일 휴무","카드 소지자 본인
 컷트 무료(예약제)"
123,박유진,린클랑 비누공방,1542559558,경기도 일산서구 한류월드로700 9층 아이디헤어안 링클랑공방,11:30~20:00 화요일 휴무,"카드 소지자 비누만들기 수업무료
 전화 예약 또는 플러스친구로 예약"
124,황주현,곤드레찜드레,581 948 9811,경기도 파주시 가람로 98번길88 8층,11:00~22:00,"카드 소지자 및 가족포함
 1인당 찜1인분, 곤드레밥1인분, 메밀전
 무상제공"
125,,돌체도노,575 8285 1555,경기도 파주시 가재울로 800-7 8층,10:00~22:00 연중무휴,"카드 소지자
 1일 1회 (음료+베이커리) 무상 제공"
126,,네이밍카페 커피GO(파주점),1581189548,경기도 파주시 교하로 879번길 77,10:00~18:00,"카드 소지자 음료 무상제공
 소방공무원 모든 음료50%할인"
127,"진예림, 조재용",잇쇼니키친,515 7616 6846,경기도 파주시 금촌명 번영로76 8층,"11:30~21:00 화요일 휴무
 브레이크타임 15:00~17:00","카드 소지자 본인만 
 종류 상관없이 라멘 무료"
128,신동수,노진어슬립커피,515 8774 7452,경기도 파주시 마무리길88 장안미우아파트 상가 807호,12:00~21:00 매주 토요일 휴무,"카드 소지자 본인만
 음료+디저트
 소방공무원 음료 무상제공"
129,황채린,쑝쑝돈까스 파주단현점,581 944 9778,경기도 파주시 방촌로 8078,11:30~21:00,"카드 소지자 or 소방공무원
 식사 메뉴 택1+음료1 무상제공
 키오스크 결제X, 직원에게 주문"
130,진태수,헤브,819458558,경기도 파주시 소리천로8번길 60 유은타워9차 809호,"07:00~21:00 
 월요일 휴무","카드소지자
 페스츄리,디저트 및 빵류
 무상제공
 소방공무원 30%할인"
131,장지수,달리의 정원,515 2852 4157,경기도 파주시 송학8길 878-97 티스퀘어 상가 808호,화~일 11:00~22:00 월요일 휴무,"카드 소지자 본인
 졸업, 생일, 조문, 선물용 꽃다발 제공
 최소 3일전 예약 필수"
132,손유리,우노이캔들,7545771212,경기도 파주시 탄현면 새오리로77 파주 프로방스 내 9층,10:00~20:00 휴무없음,"카드 소지자 
 캔들 만들기 무료 체험"
133,정진욱,담담,816181218,경기도 평택시 비전7로 90-88 9층,"11:00~21:00 설,추석3일 휴무 
 브레이크타임 15:00~16:30",전메뉴 무상 제공
134,,스튜디오 유니크,816549778,경기도 평택시 조개터로89번길 86,"평일 09:00~20:00
 토요일 09:00~15:00
 일요일 휴무","카드 소지자 및 가족들 
 증명사진 및 가족사진 무료 촬영"
135,허진훈,임광선커피하우스(합정점),816555779,경기도 평택시 합정명 988-80번지 8층,11:00~23:00 휴무 없음,"카드 소지자
 전 메뉴 무상 제공"
